"","rh_bankssts_volume","rh_caudalanteriorcingulate_volume","rh_caudalmiddlefrontal_volume","rh_cuneus_volume","rh_entorhinal_volume","rh_fusiform_volume","rh_inferiorparietal_volume","rh_inferiortemporal_volume","rh_isthmuscingulate_volume","rh_lateraloccipital_volume","rh_lateralorbitofrontal_volume","rh_lingual_volume","rh_medialorbitofrontal_volume","rh_middletemporal_volume","rh_parahippocampal_volume","rh_paracentral_volume","rh_parsopercularis_volume","rh_parsorbitalis_volume","rh_parstriangularis_volume","rh_pericalcarine_volume","rh_postcentral_volume","rh_posteriorcingulate_volume","rh_precentral_volume","rh_precuneus_volume","rh_rostralanteriorcingulate_volume","rh_rostralmiddlefrontal_volume","rh_superiorfrontal_volume","rh_superiorparietal_volume","rh_superiortemporal_volume","rh_supramarginal_volume","rh_frontalpole_volume","rh_temporalpole_volume","rh_transversetemporal_volume","rh_insula_volume","lh_bankssts_volume","lh_caudalanteriorcingulate_volume","lh_caudalmiddlefrontal_volume","lh_cuneus_volume","lh_entorhinal_volume","lh_fusiform_volume","lh_inferiorparietal_volume","lh_inferiortemporal_volume","lh_isthmuscingulate_volume","lh_lateraloccipital_volume","lh_lateralorbitofrontal_volume","lh_lingual_volume","lh_medialorbitofrontal_volume","lh_middletemporal_volume","lh_parahippocampal_volume","lh_paracentral_volume","lh_parsopercularis_volume","lh_parsorbitalis_volume","lh_parstriangularis_volume","lh_pericalcarine_volume","lh_postcentral_volume","lh_posteriorcingulate_volume","lh_precentral_volume","lh_precuneus_volume","lh_rostralanteriorcingulate_volume","lh_rostralmiddlefrontal_volume","lh_superiorfrontal_volume","lh_superiorparietal_volume","lh_superiortemporal_volume","lh_supramarginal_volume","lh_frontalpole_volume","lh_temporalpole_volume","lh_transversetemporal_volume","lh_insula_volume","wm.lh.bankssts","wm.lh.caudalanteriorcingulate","wm.lh.caudalmiddlefrontal","wm.lh.cuneus","wm.lh.entorhinal","wm.lh.fusiform","wm.lh.inferiorparietal","wm.lh.inferiortemporal","wm.lh.isthmuscingulate","wm.lh.lateraloccipital","wm.lh.lateralorbitofrontal","wm.lh.lingual","wm.lh.medialorbitofrontal","wm.lh.middletemporal","wm.lh.parahippocampal","wm.lh.paracentral","wm.lh.parsopercularis","wm.lh.parsorbitalis","wm.lh.parstriangularis","wm.lh.pericalcarine","wm.lh.postcentral","wm.lh.posteriorcingulate","wm.lh.precentral","wm.lh.precuneus","wm.lh.rostralanteriorcingulate","wm.lh.rostralmiddlefrontal","wm.lh.superiorfrontal","wm.lh.superiorparietal","wm.lh.superiortemporal","wm.lh.supramarginal","wm.lh.frontalpole","wm.lh.temporalpole","wm.lh.transversetemporal","wm.lh.insula","wm.rh.bankssts","wm.rh.caudalanteriorcingulate","wm.rh.caudalmiddlefrontal","wm.rh.cuneus","wm.rh.entorhinal","wm.rh.fusiform","wm.rh.inferiorparietal","wm.rh.inferiortemporal","wm.rh.isthmuscingulate","wm.rh.lateraloccipital","wm.rh.lateralorbitofrontal","wm.rh.lingual","wm.rh.medialorbitofrontal","wm.rh.middletemporal","wm.rh.parahippocampal","wm.rh.paracentral","wm.rh.parsopercularis","wm.rh.parsorbitalis","wm.rh.parstriangularis","wm.rh.pericalcarine","wm.rh.postcentral","wm.rh.posteriorcingulate","wm.rh.precentral","wm.rh.precuneus","wm.rh.rostralanteriorcingulate","wm.rh.rostralmiddlefrontal","wm.rh.superiorfrontal","wm.rh.superiorparietal","wm.rh.superiortemporal","wm.rh.supramarginal","wm.rh.frontalpole","wm.rh.temporalpole","wm.rh.transversetemporal","wm.rh.insula","Left.UnsegmentedWhiteMatter","Right.UnsegmentedWhiteMatter","Left.Lateral.Ventricle","Left.Inf.Lat.Vent","Left.Cerebellum.White.Matter","Left.Cerebellum.Cortex","Left.Thalamus.Proper","Left.Caudate","Left.Putamen","Left.Pallidum","X3rd.Ventricle","X4th.Ventricle","Brain.Stem","Left.Hippocampus","Left.Amygdala","Left.Accumbens.area","Left.VentralDC","Right.Cerebellum.White.Matter","Right.Cerebellum.Cortex","Right.Thalamus.Proper","Right.Caudate","Right.Putamen","Right.Pallidum","Right.Hippocampus","Right.Amygdala","Right.Accumbens.area","Right.VentralDC","CC_Posterior","CC_Mid_Posterior","CC_Central","CC_Mid_Anterior","CC_Anterior","EstimatedTotalIntraCranialVol"
"x_bar",-0.0448540453448148,-0.0390356844558738,-0.0367098752633233,-0.0333455164318296,-0.0477821028277278,-0.00256697739219404,-0.0254270011001072,-0.022155022248584,-0.0588913001396101,-0.0580330502606037,-0.01839247527332,-0.0417498739972752,-0.0220262766341201,-0.0287274889632314,-0.0141020300258917,-0.00532878856735474,-0.0521794597139714,-0.0177161068779434,-0.027538864393896,-0.0281552216939146,-0.00499047260932634,-0.0259377472875182,-0.0332066150325182,-0.057586586932736,-0.017590389428952,-0.00444058548514347,-0.0214345866343751,-0.0246976178435723,-0.0279215122089302,-0.0329704917949818,-0.0266770227790017,-0.0016210372227703,-0.0490069253734431,-0.0479802785874522,-0.0386895053305246,-0.0512132386028651,-0.0322022864911439,-0.0397121676834221,-0.0457131021369784,-0.0380815081076314,-0.0570698749736338,-0.00842704387975305,-0.0543173294894308,-0.0366495602720986,-0.0378851243121228,-0.0263661293015072,-0.0132015837799414,-0.0240585847960821,-0.00756962946830262,-0.0404391988131302,-0.0478062390798302,0.0177645207331596,-0.0225940522513353,-0.0299467557225559,-0.0178350300911748,-0.0182378954192864,-0.0310788966693156,-0.0409288066154056,-0.0640625302467876,-0.0214000326121266,-0.0227088844502318,-0.0417637367684956,-0.0151727413613466,-0.00454648883487726,-0.00724192359089547,-0.0160611028238158,-0.0153601993833838,-0.0324944550527032,-0.0334427049615661,-0.049666958139422,-0.0258238042115098,-0.0300424556120466,-0.0216995364686797,-0.03327797525649,-0.0254686160640295,-0.0124361057575358,-0.039380255552029,-0.0321590635631873,-0.0441424063680693,-0.0231508984358235,-0.0393869067700969,0.0023438605734585,-0.00108692050469076,-0.0302682634868805,-0.0447645028095323,0.00118931018773322,-0.0199971372429857,-0.0429631561621938,-0.0115305926624344,-0.0204508965309089,-0.0272081874261086,-0.0181017349462669,0.00234423036609929,-0.0139643452889202,-0.0218189096776474,-0.026808672589529,-0.0238483462445415,0.00550976216854052,0.00345261321646123,-0.0137430093818617,-0.0199408600396861,-0.0183756727327604,-0.00578794079089472,-0.0357617344665451,-0.00975690808007098,-0.0247220769155032,-0.0334944533077988,-0.0118224162829901,-0.0115219694227786,-0.0260206130656618,-0.0454353009119911,-0.0374563550041058,-0.0200251640389112,-0.0226930737411386,-0.0213341127973027,-0.0243177377630791,-0.00550541808008362,-0.01107548802593,-0.0233074131774322,-0.0390294157493548,-0.0301662598066348,-0.0221916661246267,-0.00461995723340871,-0.0207434125007963,-0.0291353797688044,-0.0367284249964745,-0.0265770671445911,-0.0137597291566912,-0.0246119960517519,-0.00485053993788266,-0.0277830231720268,-0.0224896792627624,0.00362903240016444,-0.0407404208916115,-0.0356094763706136,-0.0359268373389169,-0.0282695897981188,-0.0285908322159177,-0.00271647074581473,-0.0325158812992205,-0.0518187641953574,-0.035593040231133,-0.0411483138686905,-0.0219668571961923,-0.034750425392812,-0.0149190917130562,-0.0162987700335952,0.0107731536966119,-0.0536720600348517,-0.0183540640221105,-0.030051978823128,-0.00161718922035484,-0.0290689303499233,-0.0642524080140948,-0.0408014651529452,-0.0333455735167633,-0.0210416053142339,-0.0368147128146015,-0.0207490391089094,-0.0200178569553092,-0.0199710655021284,-0.0256726515214766,-0.0344160339636986,-0.00540025363221162,-0.0203812861365,-0.015788950553576,-0.00707032101017212,-0.0143221363239035,-0.0359932732071072
"y_bar",0.0619091011124431,0.0538783986459654,0.0506682365443602,0.0460246323950245,0.0659505070855109,0.00354303077247529,0.0350952242989783,0.0305791261856387,0.0812838045478007,0.080099218450137,0.0253859290204614,0.0576246167064612,0.030401427046086,0.0396506715338474,0.0194641084444419,0.00735497785510721,0.0720198907944856,0.0244523820224933,0.0380100908887228,0.0388608085021504,0.00688802249594203,0.0358001738105761,0.0458329158907789,0.0794829943594191,0.0242788624614006,0.00612904931284009,0.029584756091657,0.0340885043603135,0.0385382346066481,0.0455070104507007,0.036820547353256,0.00223741151015773,0.067641049426659,0.0662240361073153,0.05340059027195,0.0706862790766483,0.0444467069827434,0.0548121041392634,0.0630948009394814,0.0525614115254493,0.078769810683886,0.0116312967452414,0.0749706524276175,0.0505849877122406,0.0522903558345066,0.0363914414479666,0.0182212814650989,0.0332064888977675,0.0104478637887481,0.0558155775913188,0.0659838207735136,-0.0245192044960125,0.0311850905445615,0.0413335455869062,0.024616523944949,0.025172572572023,0.0428961655871167,0.0564913511743537,0.0884213147794816,0.0295370634378502,0.0313435859078712,0.057643750581648,0.0209419411754625,0.00627522077041994,0.00999555282897636,0.0221680883196367,0.0212006772058766,0.044849968112959,0.0461587753573387,0.0685520494252704,0.035642905645368,0.041465633876587,0.029950448995295,0.0459314097342395,0.0351526627081408,0.0171647422851004,0.0543539875625992,0.0443870492061397,0.0609268724410063,0.0319536688628454,0.0543631678032784,-0.00323507724042525,0.00150020518570269,0.0417773016971391,0.061785511415495,-0.00164152695927767,0.0276007388412326,0.0592992306158284,0.0159149218657303,0.0282270330677749,0.0375536791274768,0.0249846391888255,-0.00323558764097953,0.0192740712195403,0.0301152120174001,0.0370022549644374,0.0329163103944853,-0.00760476386412642,-0.00476541589676122,0.0189685757632442,0.0275230631033481,0.0253627375741969,0.00798871559747999,0.0493595799002283,0.0134668212026551,0.0341222636153675,0.0462302002104312,0.0163177068964484,0.0159030197728208,0.035914548016913,0.0627113701029853,0.0516985536404944,0.0276394223920643,0.0313217634216122,0.0294460786348065,0.0335641807651319,0.00759876800333225,0.0152867707426561,0.0321696959098919,0.0538697463609215,0.0416365126979403,0.0306297033277917,0.00637662438914774,0.0286307737029523,0.0402136564983134,0.0506938395261232,0.036682585137593,0.018991652973375,0.0339703262087713,0.00669488259433495,0.0383470872592083,0.0310410313442493,-0.00500891574160309,0.0562313346979746,0.0491494280224211,0.0495874605816767,0.0390186633059383,0.0394620531757468,0.00374936665753966,0.0448795413577177,0.0715220463935821,0.0491267422955792,0.0567943226596443,0.0303194142875487,0.0479637362205789,0.02059184517849,0.0224961248034891,-0.0148694784690265,0.0740800292608211,0.0253329124861085,0.0414787781411354,0.00223210036444815,0.0401219407174885,0.0886833906258098,0.0563155900938355,0.046024711185624,0.0290423497134454,0.0508129369501549,0.0286385397416158,0.0276293369031514,0.0275647537248775,0.0354342794869345,0.047502197631654,0.0074536164035894,0.028130954399455,0.0217924543654063,0.00975870102576764,0.0197679067519254,0.0496791576594026
"theta_mas",-0.0805192929705475,-0.0694782505642146,-0.0664873185943649,-0.0554122280558839,-0.0892049898548182,-0.00459251943354273,-0.0454259917941124,-0.0384424251808792,-0.133572832306439,-0.12690776896659,-0.0328793883493715,-0.0727740922875702,-0.0392777415489232,-0.0539064980724002,-0.0247274188889829,-0.00955025142888028,-0.103123778140849,-0.0312929395751501,-0.0495378146115681,-0.0481640137608154,-0.0089392339253825,-0.0468243162674903,-0.0546709409500018,-0.120055806630101,-0.032560741333308,-0.00795577832556385,-0.0377566328673146,-0.045098583999355,-0.0507958715897772,-0.0712333557701561,-0.0453312240185541,-0.00289768222034324,-0.0828003073654737,-0.0820415397757929,-0.0688404451893065,-1.30249309677282,-0.0584599366262265,-0.0850598909289615,-0.0740029709876474,-0.0666805115128665,-0.11038534577019,-0.0150970258927147,-0.0813615888308526,-0.0656695892547638,-0.0677846380755026,-0.0458058168729239,-0.0236746732113293,-0.0446927371530949,-0.0135343093976916,-0.0840927757967647,-0.0852391856741358,0.0318125088277241,-0.0404640489112132,-0.0578145476172756,-0.0318942386798629,-0.0327383841911385,-0.0523210241347166,-0.0715574335540801,-1.53787299175309,-0.0376180859702907,-0.0403952282401196,-0.0702647697984941,-0.0271873501027576,-0.00813898933688464,-0.0129701640340493,-0.0293899451983814,-0.0275745408336354,-0.0575785894283554,-0.0676402176690606,-0.0783986924042813,-0.0462112020397703,-0.0632762547971373,-0.0381650039061682,-0.0612070212935285,-0.0461062336923538,-0.0222775739163355,-0.0687402244780339,-0.0575267102812158,-0.0837179349907265,-0.0429552684073383,-0.0705070385545519,0.00419557756946142,-0.00193917234686474,-0.0584218645617418,-0.0786428655470383,0.00212235189714336,-0.0378953407077665,-0.0889231296796023,-0.0207108862304817,-0.0375401551456856,-0.0459754815424914,-0.0331187355047535,0.00419510986043026,-0.0247844791629801,-0.039041490971544,-0.0485090116886622,-0.0427842633294174,0.00986225249943234,0.00618747514597749,-0.0245539100178763,-0.0386949331502769,-0.0328501416745485,-0.0103531834504129,-0.0635593913145344,-0.0175066294546675,-0.0444307431554663,-0.0572297537621793,-0.0211676545998287,-0.0206166758165913,-0.0452455158099819,-0.0739114852758674,-0.0741461321113453,-0.035955212719327,-0.0408143720133954,-0.0395044060549781,-0.044134564902199,-0.00986573520006185,-0.0198266935983881,-0.0414076673394192,-0.0641820248496814,-0.0540230710811736,-0.0390113057337562,-0.0082708324178941,-0.03652076547703,-0.0499984296164663,-0.0655055899558542,-0.0503965419584116,-0.0247168458105156,-0.0436211886228329,-0.00867864569390593,-0.0521640988399661,-0.0440711519977869,0.00649850538665547,-0.0699716852155832,-0.0694716728856612,-0.0592141337987024,-0.0492443771179039,-0.0496430467137236,-0.00485891669994922,-0.0521260153389593,-0.168060414595428,-0.0676878669495963,-0.0745509266268778,-0.0378833166690553,-0.0674134089272814,-0.0267905279640748,-0.0291168823126395,0.0192784486717148,-0.0994183626987741,-0.0329094706658271,-0.0564474417155125,-0.00289015547061935,-0.0509855418922707,-0.241957586743639,-0.0858630172274772,-0.0594715196029571,-0.0369491850045623,-0.0734917076788333,-0.0384200472725868,-0.0354346656626329,-0.0351810712752718,-0.0471051168308574,-0.0618977060267752,-0.00968200015129558,-0.0361589949007187,-0.0290793244945193,-0.0126703135287101,-0.0259551885582556,-0.0626991818705087
"theta_fem",0.0953803687230445,0.0843257713479299,0.0747472123955942,0.0738814375797184,0.104399881114217,0.00556851626943645,0.0550881567838568,0.0479141643486195,0.115676018311162,0.119149719817301,0.0398775330587766,0.0948877713000326,0.0476546211296099,0.0603215367092861,0.0314905221052499,0.0115768488905614,0.299089507703357,0.0393157183960155,0.0599948287509677,0.0667156375756244,0.0108367228252215,0.0551635830209103,0.0819352606409989,0.118227394260808,0.0372764057136,0.00964427113606749,0.0470654449178999,0.0530226638824121,0.0596301231340966,0.0681158494903854,0.0612197349038712,0.00351405046875806,0.139805906226641,0.103622763189063,0.0908581569295156,0.126061090393754,0.0674817242958959,0.0797521963391649,0.118834490007815,0.0856369141766652,0.119383877405552,0.018301486454968,0.160765765741172,0.0796260079871011,0.0821842370686247,0.0575671352697658,0.0286957007182426,0.0506755891789415,0.0164127715436462,0.0845551636673279,0.103395960793042,-0.0385622120653073,0.0490459120122609,0.0618104070415931,0.0386746237671678,0.0396675158476953,0.0693781873840157,0.0946884772707033,0.177948333361958,0.0468537103026108,0.0490358531117829,0.0949618833722781,0.0329567223202084,0.00986757413201523,0.0157241859338634,0.0342273779858051,0.0334187393285071,0.0711161103149132,0.0667492477532262,0.144496275096867,0.0560196351762216,0.0614868984438418,0.0476785555041761,0.0715269045697551,0.0547614035353209,0.0269984759961644,0.137746435592015,0.069766652413329,0.090270528195005,0.050027528027776,0.0854891940390244,-0.00508680962287815,0.00235245664655569,0.0629827921504196,0.0932397072508968,-0.00257457070412458,0.0422618546327037,0.0915183996298215,0.025094629803811,0.0444375762138492,0.0616170001314829,0.0388645092337935,-0.00508641104402088,0.0309048214271455,0.0473455828318544,0.057296002299776,0.0518624731062326,-0.0119571936186371,-0.00750018292528312,0.0297811095444723,0.0425368706483073,0.0398264924214275,0.0125538456906186,0.0728392874211868,0.0212187762668784,0.0538287206731671,0.0780142938343809,0.0256585279351586,0.0250026904036112,0.0572561896693888,0.102309793142109,0.0793221123907717,0.0435751339246359,0.0494463473268528,0.0454825671473289,0.0511697463891332,0.0119590098346679,0.0240302276924225,0.050275097510783,0.102213244610658,0.0655108509960098,0.0495968799809011,0.0100273130007088,0.0456916892648299,0.0652681133770394,0.0794560399847859,0.0576373171459785,0.0299520942162444,0.054189125043625,0.0105230395228716,0.0586229467720554,0.0475450998895312,-0.00787843364410386,0.0868879193502001,0.0736133220971622,0.0793599739003209,0.069129732577115,0.0698466374622496,0.00589184713408206,0.0857701572369681,0.109483289268166,0.0776744873646898,0.091511567340473,0.0492979629223696,0.0726999477155098,0.0324559493109935,0.0353214238840208,-0.0233742423246992,0.152511068538389,0.0390279687841919,0.0670350139450047,0.00350507373189466,0.0648004785756243,0.107606716612639,0.0882361456982246,0.0721474169023143,0.0457648100156848,0.0745914334846915,0.0441573160190161,0.0447316960511733,0.0456107616539714,0.0537673583315638,0.0771362585184636,0.0117359060191648,0.0458235331003819,0.0338533885572647,0.0153597792789809,0.0307574098391897,0.0805825668013315
"sigma2",0.990812680841132,0.993371546243712,0.990707112880916,0.999225589780203,0.989135869781065,0.990568839197396,0.996196053737968,1.00011555408932,0.979499240818015,0.980757652478179,0.999341058877744,0.99469686775303,0.997663402248775,0.991007903815721,1.01217528020645,1.00523141047442,0.978969281999519,1.00419546696696,0.995331047115197,1.00505316371736,0.99802326307202,0.994370228202505,1.00499873680756,0.982192425629196,0.98848472504996,1.00001087870719,1.00070229888092,0.994283253294542,0.99408313239647,0.984366863597846,1.00448393036759,0.995147585225208,0.994421050732415,0.991732121380338,0.996167064269791,0.831372743499676,0.992546391385173,0.984670365094812,0.997418011509562,0.99570884388384,0.984430286431946,0.999793862317295,0.994393485718129,0.994630315053248,0.993483693666136,0.999172346745233,0.999711646194033,0.99093892753206,1.00026447495781,0.986872853819947,0.990135725127246,0.996553924061247,0.996031865537746,0.988496376692785,0.997741436015071,0.996470355192589,1.00054372899548,0.995352401776483,0.730553061354147,1.00058339505794,0.998198189115877,0.995792828074815,0.998504886135184,0.995466201966039,1.00136797583707,0.990140207201952,1.00018680588413,0.996151984039343,0.984829091887877,0.996424302238681,0.9956878417368,0.983615035895761,1.00081921505061,0.993275854109329,0.995071215641675,0.992803591676155,1.00453499464576,0.995847689352903,0.988592238390688,0.993526145969176,0.993480112615533,1.00246690602684,0.99831483424256,0.989133442867688,0.991257708965661,1.00333562220442,0.987325844530494,0.987077201058625,0.998015487328103,0.995008492887154,1.00366871489271,0.992974468967375,0.988017824757704,1.00650109022617,0.998724913612295,0.994546304309756,0.998269191738608,0.998305920368637,0.993777727312235,0.999790180574801,0.986017174685147,0.995466902320503,0.997840073085244,0.99215543107802,1.00348820386303,0.996402458357162,1.000274497039,0.994057836813059,1.00425174477068,0.999919993826034,0.995098111380383,0.989152980151482,0.998922439631986,0.997764203665464,0.991735863069978,0.992795139213635,0.998102945796157,0.990946387999811,0.997981501613708,1.00192084845671,0.996662321400717,1.00249555316482,0.994691074327149,1.0015719031607,1.00062977294705,0.993625977595171,0.99265939156387,1.00080072076876,0.999086244480385,1.00028942901815,0.991274517339863,0.986167467462392,1.00152913911416,0.993792349995303,0.988813262830088,0.99867245527118,1.00569252356963,1.00555682908707,1.0038932232978,1.00964260404604,0.972612444581583,0.992097145226579,0.992917020778614,1.00525242137548,0.989549946321591,0.994923901970051,1.00112752995896,0.998048241040654,0.988132752610849,0.994050157997521,0.995118200789113,1.00429948971943,0.998998069755482,0.962991318712537,0.987382771414206,0.994839040297068,0.999987947365664,0.987149631705642,0.991316753522835,1.00327791631904,1.00696688289723,0.991717757468523,0.995903724278385,1.0068991340718,1.00349111488193,0.990236878538925,1.00548607357758,0.992611612592043,0.996623597047248
"p",0.796782556976014,0.801049254036967,0.787592826722804,0.829326780567707,0.787088960067549,0.80000139275365,0.80039282046117,0.809221779392011,0.705141219074758,0.723034640218264,0.800253223914362,0.81602058083219,0.800335666925909,0.780349317252444,0.812383277976984,0.80002762393119,0.898959729826562,0.808756081445116,0.800375859567568,0.830096243500903,0.800014205692709,0.794478745079486,0.848126955040117,0.739790061617043,0.786230595524024,0.800013270551846,0.80741312681996,0.792496393451016,0.792760744826363,0.732789471000287,0.826832206582656,0.800001184096923,0.856178374243309,0.815503028960838,0.814192513573272,0.128599373096003,0.790611709055803,0.729858405642609,0.858511882614351,0.812945517960474,0.769045136031876,0.800048157663891,0.89640689624243,0.800881072201154,0.800875685235049,0.810929362820836,0.800122362135908,0.784036488115944,0.800040904348808,0.745251216920482,0.80141264761116,0.800166438200069,0.800274585035252,0.768671385321255,0.80019846159544,0.800167718529268,0.824927548814695,0.817544021205221,0.129454494739596,0.807489043561558,0.800391016934839,0.828120432653762,0.800147483152253,0.800009058424187,0.80004024284579,0.790489241763433,0.800176577418553,0.805145166732584,0.748091075216918,0.879480375668166,0.800377077894092,0.740104335882181,0.808026789883616,0.790227709019656,0.79537824416047,0.800021229986634,0.880166368713441,0.800703458424562,0.772787505476812,0.788767224694556,0.800971487686705,0.80000429454326,0.800000695924336,0.769979640612959,0.801624430377514,0.800001101567737,0.779000737791656,0.748691109298624,0.80007577230331,0.793185888872522,0.82614943097279,0.791993696398462,0.800000452563774,0.806944689761281,0.800350666068139,0.794530486582194,0.800404741992205,0.800017930644575,0.800004041114369,0.800139376969417,0.773905927277729,0.80014958121561,0.800019161865894,0.793971830632691,0.80008851231131,0.800368393052735,0.826989977008392,0.800043021293802,0.800140785786923,0.812018469473869,0.837893722211337,0.763619383822761,0.80028155850972,0.800325713904397,0.787102723114672,0.790928243366962,0.800017369425498,0.799992045242875,0.800411359278633,0.856406310839687,0.800640960766733,0.811452069763,0.800008470685005,0.808154949742445,0.819312193398912,0.800829390721743,0.782437286425852,0.800146821716432,0.806032373372295,0.800016363206734,0.780967372102563,0.768938752897522,0.800009914563442,0.812112760139478,0.765280884746951,0.830473844773576,0.829709675306403,0.830440816479564,0.80000628835059,0.869606897355103,0.595837829876559,0.781468720791177,0.799982266994244,0.818099762724584,0.768718614842192,0.800076252876276,0.800231948571267,0.800068710134399,0.824836669141118,0.795954853184016,0.790806246541092,0.800002205789693,0.811370715985179,0.510910544818791,0.746050457882296,0.80071590856107,0.80655287530555,0.754675473867674,0.786858682538206,0.8094361222431,0.815239987408362,0.786882205461837,0.803961609426439,0.800031056019187,0.80990851506927,0.789972527213002,0.800051140033898,0.794680131640365,0.814109025937555
"q",0.190744536629469,0.198981997380024,0.172059622010058,0.215455719272294,0.197552371612273,0.199993042421151,0.199546907336237,0.202909723674442,0.133215835316318,0.155757029621886,0.199811250532506,0.221190840833874,0.199684224040672,0.18018450491874,0.212538033137214,0.199991695990733,0.53893057534405,0.209464115812293,0.199494385913679,0.238201639677686,0.199982710422276,0.190586544231644,0.25902790807922,0.160644296712574,0.185520703955156,0.199988376193926,0.20624655499351,0.192554687070795,0.191097486581417,0.154873864386369,0.227085527890719,0.19999787404026,0.316195407192371,0.202472779205358,0.231560089779807,0.0342569906343552,0.183799992375364,0.146317963555134,0.283835045601584,0.216443760552578,0.175675902324183,0.199958061079111,0.346237533900455,0.199263400808309,0.199086756776626,0.205864258860647,0.199903030498437,0.182775846780032,0.199966703254402,0.166316093329397,0.198477051762648,0.199762790289843,0.199622910259308,0.169544428752747,0.199785826567485,0.19975569246104,0.21812855866626,0.227981905538637,0.0637695183545371,0.205516403878523,0.199675217465263,0.225243232296339,0.199855383353587,0.199982770088103,0.199973441441662,0.189554673245037,0.199884423930597,0.204039421511221,0.150658129054041,0.332334596809819,0.199518567121665,0.153994728828726,0.206681815864626,0.192191622086948,0.194421489139301,0.199821808411342,0.381509030002781,0.199390470189685,0.168404728299424,0.192621689460206,0.199066298169997,0.199997363052966,0.199999215223393,0.172789353511754,0.184271947232833,0.199999331787664,0.180615018977775,0.175157881806675,0.199911442556005,0.196095157893111,0.223073589123272,0.192209148060011,0.199993504106669,0.207611361849268,0.199739503910016,0.192175325261956,0.199703509250863,0.19997929309883,0.199989025559721,0.199890679985135,0.180049723209785,0.199702997337446,0.199975924080045,0.174371342724604,0.199969167901077,0.199609123798289,0.232523127727863,0.199862645196837,0.199968032844044,0.20863229822074,0.225221463282135,0.177305083083244,0.199789645155229,0.199710687677685,0.18778984377233,0.185869642424804,0.199979180882765,0.199831275171245,0.199644784740502,0.282965975551768,0.199505667263421,0.212784258141237,0.199981333039901,0.207457801265589,0.217050543976671,0.199067378507996,0.191045630604197,0.199913991407864,0.206334484665781,0.199986301794424,0.1819776082206,0.175640903166258,0.199993209607124,0.196973838874967,0.169035760814418,0.216325784439584,0.247471745317841,0.247661070332297,0.199996922808026,0.284715600811365,0.122115031471865,0.194129626758398,0.20793422210112,0.217023479057463,0.174707392288968,0.199799990930068,0.199879581385238,0.199918837675181,0.304900997685417,0.192085444716343,0.202397426936035,0.199998907099583,0.212482995409576,0.0348615743072195,0.178469590064455,0.199259472112946,0.203298911102682,0.158221441822062,0.187078098675346,0.211589534961049,0.219862597260489,0.182392004774792,0.211519419477348,0.199994301104294,0.213448534089821,0.190491691005695,0.199987594574751,0.193972316576207,0.215186404341851
