"","Precentral_L","Precentral_R","Frontal_Sup_L","Frontal_Sup_R","Frontal_Sup_Orb_L","Frontal_Sup_Orb_R","Frontal_Mid_L","Frontal_Mid_R","Frontal_Mid_Orb_L","Frontal_Mid_Orb_R","Frontal_Inf_Oper_L","Frontal_Inf_Oper_R","Frontal_Inf_Tri_L","Frontal_Inf_Tri_R","Frontal_Inf_Orb_L","Frontal_Inf_Orb_R","Rolandic_Oper_L","Rolandic_Oper_R","Supp_Motor_Area_L","Supp_Motor_Area_R","Olfactory_L","Olfactory_R","Frontal_Sup_Medial_L","Frontal_Sup_Medial_R","Frontal_Med_Orb_L","Frontal_Med_Orb_R","Rectus_L","Rectus_R","Insula_L","Insula_R","Cingulum_Ant_L","Cingulum_Ant_R","Cingulum_Mid_L","Cingulum_Mid_R","Cingulum_Post_L","Cingulum_Post_R","Hippocampus_L","Hippocampus_R","ParaHippocampal_L","ParaHippocampal_R","Amygdala_L","Amygdala_R","Calcarine_L","Calcarine_R","Cuneus_L","Cuneus_R","Lingual_L","Lingual_R","Occipital_Sup_L","Occipital_Sup_R","Occipital_Mid_L","Occipital_Mid_R","Occipital_Inf_L","Occipital_Inf_R","Fusiform_L","Fusiform_R","Postcentral_L","Postcentral_R","Parietal_Sup_L","Parietal_Sup_R","Parietal_Inf_L","Parietal_Inf_R","SupraMarginal_L","SupraMarginal_R","Angular_L","Angular_R","Precuneus_L","Precuneus_R","Paracentral_Lobule_L","Paracentral_Lobule_R","Caudate_L","Caudate_R","Putamen_L","Putamen_R","Pallidum_L","Pallidum_R","Thalamus_L","Thalamus_R","Heschl_L","Heschl_R","Temporal_Sup_L","Temporal_Sup_R","Temporal_Pole_Sup_L","Temporal_Pole_Sup_R","Temporal_Mid_L","Temporal_Mid_R","Temporal_Pole_Mid_L","Temporal_Pole_Mid_R","Temporal_Inf_L","Temporal_Inf_R","Cerebelum_Crus0_L","Cerebelum_Crus0_R","Cerebelum_Crus2_L","Cerebelum_Crus2_R","Cerebelum_3_L","Cerebelum_3_R","Cerebelum_4_5_L","Cerebelum_4_5_R","Cerebelum_6_L","Cerebelum_6_R","Cerebelum_7b_L","Cerebelum_7b_R","Cerebelum_8_L","Cerebelum_8_R","Cerebelum_9_L","Cerebelum_9_R","Cerebelum_00_L","Cerebelum_00_R","Vermis_0_2","Vermis_3","Vermis_4_5","Vermis_6","Vermis_7","Vermis_8","Vermis_9","Vermis_00"
"x_bar",0.0473926554343586,0.0583563463988281,0.0571406333025238,0.0230316407402575,0.0682736975720941,0.0627997477222691,0.029000684908382,0.0451239897133726,0.077846241613766,0.0626176743209981,0.0491749721791197,0.0900468359839889,0.0381050612205074,0.0790716067550187,0.0502843822493544,0.0376976149031641,0.0044443881071393,0.0233317499083217,0.0752340677967528,0.0486912259327223,-0.0153240062647745,-0.026672839204471,0.0689158153912253,0.0628698670683009,0.0576586637801501,0.0535821483426267,0.0197635903584155,0.0197041195974858,0.0539734675189893,0.0483912075814708,0.0771960352310484,0.0913202403632329,0.0639362546709794,0.0568824320561177,-0.0364921213782658,-0.0510560990232504,0.103248427640885,0.0835882316796739,0.0846764575174077,0.0781481668326873,0.10083246675114,0.0869485513849445,0.0247463869676904,0.028440188307721,0.00360276993228888,0.00272138129564076,0.0475452576537853,0.0302752769838944,0.0666119653048265,0.04877566219955,0.0443524129740903,0.0522272872261957,0.00719833400648271,-0.0109773915314288,0.0268720041389194,0.00655485309712862,0.061286950780388,0.10575413975182,0.0829032154658633,0.101979744767904,0.0887572526717337,0.0550602035884469,0.0467099669885138,0.0358519330879234,0.0677292292984173,0.00360237512873335,0.0560762844105663,0.0446132399416565,0.0841849624851628,0.096787708933439,0.0611762507874985,0.0552798851461884,0.0841912246435968,0.0502322881621167,0.0759751670718621,0.056703147531149,0.0181905284278312,-0.000820698390256462,0.021641229406035,0.0434531042909346,0.00486351565767137,0.0343476606794648,0.0219665713048708,0.0385473084464835,0.0410504968274808,0.0443808111910703,0.0250020965853712,0.0101126432545878,0.00745861208353032,0.0183172830042794,0.0761254702550829,0.0490684727065575,0.0913609033397327,0.0847751920732078,-0.0381031585337854,-0.0206689001966456,0.0239154891212262,0.00397581073061406,0.0778090191854448,0.0458966846265791,0.0718866052270827,0.051770192573904,0.0555794695936542,0.0561192131518663,0.033634092400159,0.053092590641809,0.00932315938056138,0.0235383171280684,-0.0578043306818635,-0.0369153900411785,0.0135797065446594,0.0648509224152537,0.103813209178734,0.0626583612345766,0.033740565221125,0.0294713498144079
"y_bar",-0.0644967716813444,-0.0794172834450212,-0.0777628167500528,-0.0313438118344847,-0.092913829026686,-0.0854643183288032,-0.0394670975068951,-0.0614093393843648,-0.105941125805201,-0.0852165342263203,-0.0669223305595537,-0.122544942203773,-0.0518572637662549,-0.107608727989912,-0.0684321292265665,-0.0513027691539284,-0.00604837779994218,-0.0317522310782417,-0.102386212565505,-0.0662639992016746,0.0208544746911585,0.0362991270376637,-0.0937876886151248,-0.0855597439049809,-0.0784678055955425,-0.0729200665414696,-0.0268963146982958,-0.0268153808056004,-0.0734526136912566,-0.0658557035507226,-0.10505625847233,-0.124277921095829,-0.0870109931988533,-0.077411430091407,0.0496622102967381,0.0694823603248746,-0.140511018067671,-0.113755413037754,-0.115236382034968,-0.106352016516665,-0.13722313144328,-0.118328479704323,-0.0336774138432485,-0.0387043164187786,-0.00490301772740107,-0.00370353394369056,-0.0647044483859766,-0.0412016927374805,-0.0906523738358927,-0.0663789087076574,-0.0603592988594777,-0.0710762329920396,-0.00979622898626484,0.0149391568961562,-0.0365701710461993,-0.00892051436526454,-0.0834055495582727,-0.143921047331424,-0.112823172927227,-0.138784464684141,-0.120789945365291,-0.0749315552594655,-0.0635676994354959,-0.0487909766083776,-0.0921728609249142,-0.00490248043835281,-0.0763143419421979,-0.0607142588679676,-0.11456750533695,-0.131718611405656,-0.0832548976882494,-0.0752305203869173,-0.114576027522488,-0.0683612342657371,-0.103394776240653,-0.0771674413769766,-0.0247555311687022,0.00111689029049859,-0.0294515979134756,-0.0591354276440531,-0.00661876942886212,-0.0467438088946093,-0.0298943564374542,-0.0524591190136363,-0.0558657137276253,-0.0603979460570192,-0.034025409638739,-0.0137623190156431,-0.0101504420084125,-0.0249280317577025,-0.103599324181729,-0.0667773951871199,-0.124333259432268,-0.115370750114667,0.0518546743956035,0.0281283528991938,-0.0325466430897892,-0.00541068979128684,-0.105890469718538,-0.0624609016346674,-0.0978306432037744,-0.0704541718486965,-0.0756382255372293,-0.0763727637630667,-0.0457727122137498,-0.0722538263621619,-0.0126879086306894,-0.0320333488735389,0.0786660440106569,0.0502382375748363,-0.0184806532675447,-0.0882557665951945,-0.141279630536473,-0.0852719051387842,-0.0459176113159666,-0.0401076264391548
"theta_mas",0.0675328106083582,0.0802496014171082,0.0896754147190023,0.039993156604407,0.101492366912527,0.101688030154115,0.0484515120785622,0.0710313942880315,0.110582792161126,0.102437439427534,0.0806970828423692,0.119408660561568,0.0602412131616888,0.12418879468027,0.0948953470145624,0.0619317329317595,0.00793548547752674,0.040592534767791,0.183692344229973,0.0733003442835459,-0.0273643167492688,-0.0464202760080722,0.0917951581742157,0.109328404040225,0.0899957330075394,0.0943936181602784,0.0353131648487244,0.0342838379474893,0.092753863061957,0.0834323966488142,0.114018677255207,0.121282358899884,0.135293442354899,0.114256444851551,-0.0724096584825219,-0.103018835049671,0.0910778691403196,0.161730593351051,0.119029977996939,0.0478905605889658,0.163927712855942,0.125917817076876,0.0452079904828551,0.0520934439800299,0.00643249158520708,0.00485387214625447,0.0806326500270329,0.0526214802072015,0.160290764768487,0.0801617130549863,0.0735969372394698,0.0855184259539167,0.0128641711806823,-0.0196355677266736,0.0448718077423122,0.0117108667845028,0.115951681454285,0.235514174491089,0.108819827710283,0.158122688256921,0.20269441997007,0.272844238681009,0.0941288482356743,0.0602678671454538,0.108523645432935,0.00642609897491644,0.105290136593498,0.0900822156580001,0.101566932887925,0.144479918212822,0.225520588651145,0.121512017275205,0.160160837533291,0.0926125543063578,0.132185663162604,0.0988738211171208,0.0317796747993279,-0.00145500571866642,0.0378673079682287,0.0810092323525615,0.00867584892058058,0.0581401705725828,0.0384247439589276,0.063885762755882,0.0672327080214663,0.0765592133982819,0.0436321383736684,0.0180271426218144,0.0133198988558625,0.0318717806396626,0.125308928003366,0.0824254278643298,0.200589032965563,0.0581630991795441,-0.0643172166397826,-0.0369781520973807,0.0423836316819708,0.00709567643459579,0.170017562240915,0.0771145437926449,0.0517987336786001,0.0736682500515341,0.101426167003755,0.0982680291152239,0.0573573302579042,0.0952106396095836,0.0166471602836238,0.0484102416428993,-0.115513916749268,-0.0635413613601973,0.0242800833743815,0.0848411529378551,0.175712713180363,0.134337994203324,0.0566147379423801,0.0501675705220354
"theta_fem",-0.111637299697578,-0.123822002548945,-0.135438550278974,-0.051062282467889,-0.156308931435034,-0.197509892314754,-0.0669480521373911,-0.131275335958566,-0.138497440083819,-0.209896870856679,-0.112825443060656,-0.175864071130322,-0.0945311805776499,-0.329791816724584,-0.144043452464607,-0.0875831853342456,-0.0095396795205741,-0.0510646880384714,-0.156506941017578,-0.102223720043498,0.0329009548488486,0.0588149859356055,-1.92080568838394,-1.70712502902824,-0.13520021464291,-0.197166119385275,-0.0424569943488815,-0.043213808670949,-0.131126551249202,-0.0995786140058793,-0.143572203572078,-0.174008338783199,-0.150860159110827,-0.120924811456446,0.0749954156816598,0.10349407892611,-1.72281942403129,-1.28768287462832,-1.69392973948769,-2.14131605861066,-1.35665814972245,-0.222888708183106,-0.0527212508642047,-0.0603137481158096,-0.00773266921524933,-0.00583606254915863,-0.12379788630087,-0.066864001335006,-0.121857956822059,-0.110051707220844,-0.101035719376459,-0.15854588561455,-0.0154612870843445,0.0236009506775133,-0.0642700622933466,-0.0140781014463336,-0.312999275192936,-0.954719778128517,-0.18151821486482,-0.182156825473129,-1.11195074883336,-1.03669771575764,-0.188449641547033,-0.0820428620583309,-0.144292744712047,-0.00772626762689515,-0.108138925535972,-0.0892161140671133,-1.8940489408372,-0.161156361009444,-0.109246919130249,-0.100111992683081,-0.238128146833885,-0.11887146934661,-0.132938887720257,-0.106646814820861,-0.0393965821497089,0.00175119824842081,-0.0475296675371356,-0.0975918987020867,-0.0104319139846288,-0.0817802189010254,-0.0474170222661742,-0.106573919306357,-0.118142911922084,-0.143973627367761,-0.0536973792962218,-0.021682420349359,-0.0160169327942568,-0.0413035534434345,-1.37703172220875,-0.111379435127417,-0.267209862273871,-2.585282303432,0.0893821953118892,0.0444432013535638,-0.0521286002351075,-0.00853046876121098,-0.290203683362451,-0.104498503051162,-2.96322554258031,-2.73750912078085,-2.20870766972704,-2.17566290185962,-0.0811936172992147,-0.180706300129359,-0.0200104408543477,-0.04836711359662,0.159809537565305,0.0794981895032276,-0.0291769418198883,-0.140531410182319,-0.171221407543473,-0.364356436038299,-0.0743775603070445,-0.0652989896333608
"sigma2",1.00024387253298,0.994365295766208,0.991046122574024,1.00333432150481,0.986523462152004,0.984990951074805,1.00482645576982,1.0003263120689,0.984703857762897,0.983632585977513,0.99361434828672,0.980824665431734,1.0032824207308,0.962246386191078,0.990113273713316,1.00000673234181,1.00485050150198,1.0016484443523,0.968435967503652,0.995672010562131,1.00124134312012,1.00038017348325,0.815890258995245,0.80464062570065,0.990843235703387,0.98862217730886,0.99998370397422,1.00427381132503,0.98991914289844,0.990918213017904,0.984223484391388,0.980998517591882,0.977875241962558,0.983724952294829,0.988525441353688,0.985324290248564,0.818545493399687,0.778467486454639,0.783863986034147,0.875816837580483,0.761535997300195,0.974635298761659,0.99461603098942,0.993993965703972,0.995807231907889,1.00426766332053,0.994855670954825,0.99914276550893,0.975099314430203,0.993331268327582,0.995538265601736,0.993123314460986,0.995042227367319,1.00366333472132,1.00930923700969,1.01067457543827,0.969808576199899,0.771792573261349,0.982786654017815,0.971219358316404,0.775157669224487,0.718384906718426,0.990683560065573,0.999470883199472,0.984946488932071,1.00255260597778,0.985473491604826,0.986782146319957,0.78835423969264,0.976821599238489,0.966249004729214,0.981237317780575,0.961991772347233,0.989687578908626,0.979540481009016,0.987180441631913,1.00293444466181,1.00362263957159,1.00235486766541,0.991733574545425,1.01514234917473,1.00155771502306,1.00031811177138,1.00348988486799,1.00236994488706,0.998409259471492,0.998915004086205,1.00752356666023,1.0170495382422,1.01001949824119,0.812689781731264,0.992838277727066,0.941082671306074,0.811910498481957,0.998656467055988,0.998745664408135,0.999302253260512,0.996069082859991,0.951173215909058,0.994346547712137,0.811114718054853,0.779879413531399,0.758997101155106,0.772285200149831,1.0022205143406,0.988974929013367,0.995444845711047,0.98173134613228,0.983114019581849,0.995745142827436,0.99588251752032,0.992972859872086,0.969710783652739,0.956503198074909,0.999269198972643,1.00084851002423
"p",0.888037685702785,0.889866167349982,0.856913506131701,0.814791647646254,0.870973539069907,0.876712275668513,0.833871134526801,0.882838454851008,0.865366367686546,0.881252029988452,0.837708182872313,0.898212460823291,0.861847842854764,0.908859550699139,0.821422574807328,0.83966745890435,0.800018089029612,0.811774546875287,0.685794924541704,0.856300938387864,0.800197843092756,0.813048699786723,0.978269420392914,0.965366391369384,0.856889101825609,0.87477321882364,0.800311693695355,0.812125007877298,0.829099602257602,0.807235118762834,0.854221807040002,0.895163155442536,0.7546877835692,0.758901112897874,0.759076635344368,0.750308051442678,0.968191030407842,0.924715708977652,0.957610778012044,0.985191570547734,0.932642114771413,0.888234347104393,0.791986317208092,0.790318936382992,0.800005574588683,0.800006361246266,0.843401101789666,0.813655559859404,0.674007052737831,0.835055434552274,0.833173567356725,0.872869684612917,0.800018349068251,0.800115605934694,0.840665431568478,0.800057197826471,0.889040868816063,0.884309101800624,0.908933457282869,0.834061469420384,0.913304841227513,0.837441344560116,0.853001392924845,0.829796636613111,0.837493160526409,0.800010351541736,0.76993696675733,0.749584746476298,0.970085832034817,0.843628014280191,0.525853621528044,0.706634315031112,0.812810621960656,0.802696630923286,0.787051364142023,0.793851729047589,0.808396111945914,0.800000509262169,0.810699813068415,0.792166340621399,0.80003609657076,0.833757791455592,0.807532950595749,0.862200682060549,0.870777322481428,0.869623439289839,0.807508807066463,0.800136453948092,0.800123673598712,0.817951805762742,0.947123999210397,0.828541061336115,0.775878817394633,0.978280128003985,0.832142362098025,0.800292053221581,0.805310399601071,0.800007064655505,0.805835490941452,0.82895616105258,0.983315910134604,0.979412116940359,0.967695104332118,0.965339407585392,0.833635643245061,0.859616604161597,0.800034303097305,0.75105998342344,0.796044769759533,0.813114509750955,0.800075510196584,0.909318054276807,0.795223349102239,0.877539909764562,0.824871519445324,0.820923253390329
"q",0.262659173255051,0.220445427443916,0.254767491147472,0.215486112774689,0.246079529558287,0.367799086410604,0.235714288216119,0.334448394409816,0.133910025035921,0.390445855032897,0.236603589210796,0.182923728799422,0.270848721267663,0.481170103345967,0.30831926092804,0.24090174643936,0.199993604722321,0.210609636694152,0.154482376624265,0.20836599223796,0.199904532173001,0.213258281763076,0.918152073253563,0.90176662700399,0.251440288976061,0.411393121318293,0.199831100923963,0.211342924307786,0.255291620945687,0.185561606376977,0.152351807173947,0.171782059241928,0.219074483501743,0.182162934263087,0.169118972714921,0.162767518120541,0.910843835825532,0.831303966654881,0.89422273052055,0.958173770222505,0.827814628009039,0.299809620071863,0.193536224632257,0.191498739717882,0.199989472056327,0.199997170567111,0.283811035930958,0.214097647738852,0.104573491149391,0.229539101626788,0.232288966817188,0.349114896199467,0.199954146482831,0.199968063755789,0.2482105208097,0.200003812512555,0.518765646707416,0.687879831777446,0.238406620213547,0.128408846350199,0.753965428337445,0.730682588303515,0.421127968173881,0.232292507626815,0.207304044457494,0.199994124201511,0.148587397189844,0.155784586616707,0.912899460023547,0.0966458965197762,0.0608675709241445,0.106785450089844,0.306656670104435,0.235745842395514,0.112368042614768,0.144396320428488,0.206382757505779,0.199999687079757,0.210987032987977,0.212874741655573,0.200006362238338,0.246601476808301,0.20486769330377,0.306615460473468,0.323935374967485,0.363436085654366,0.203196350979418,0.200004619538247,0.200053714797356,0.220599764731563,0.867770372519401,0.229481655993759,0.296050538484992,0.966140227243225,0.241465354851769,0.199776682477321,0.206474472705732,0.199987384771624,0.394295796930082,0.230619637264012,0.973718762403877,0.961530606524755,0.935812178922717,0.939323655883862,0.250792990654372,0.380797865722654,0.199925632104167,0.16071524776966,0.289069328295001,0.205299842038275,0.199848011971669,0.233935466105387,0.0838380504882957,0.538355847944779,0.21777050107398,0.218007000360443
"llk_delta",0.139559986432687,0.0446399953402761,0.0593522557574033,0.0581110730959153,0.043829635372731,0.254990291991817,0.117431505831519,0.268280013738604,-0.0276864466809457,0.299547699650702,0.0360317415656937,0.0103375100907215,0.167346128741883,0.590807256278822,0.121828567389912,0.0722849589274119,0.0482478990929849,0.0332566111901542,0.129489798172472,0.0196183745097187,0.015465891218355,0.0260179007318584,20.6305171952508,18.5212452370311,0.0518531472380346,0.373962593121178,0.0108747519575445,0.0626749987877702,0.0496109291120774,-0.000927450460039836,-0.0131055004958398,0.00250833464951938,0.0753772691882659,0.0440941183010182,0.0366428431734676,0.0259037364380674,6.83685604501852,8.69578692280902,14.3958599251414,9.29484816390777,9.08574033226705,0.147731203722287,0.00461299191147191,0.00433722152502014,0.00799580157035962,0.0393099970974617,0.110744719057493,0.0253581945030419,0.162044516936021,0.0237279732909883,0.0351859845509352,0.224559702944134,0.0123765865268979,0.0371555322094537,0.234503430463974,0.174697563023074,0.706628620956508,5.93903792345918,0.0446856499684145,0.0200576703814477,9.74880694974172,9.10847318813649,0.402403381047407,0.0513780022793071,0.00756690496473311,0.0197456158766727,0.0215388500491827,0.0475511992917745,20.2278947556069,0.0308883792349661,0.532941697162187,0.118500722902809,0.107693664851922,0.0387609778485967,0.00171652511244247,0.00845635321593363,0.038155535066835,0.030781863375978,0.0387156843084995,0.013308918481016,0.316761060207227,0.0923603907745019,0.0153771867130672,0.241395618564638,0.266693980797299,0.304537762759082,0.00819427122996785,0.102602332822698,0.395840761951149,0.193510129718561,7.95329723154009,0.0311509968228165,0.557340432355886,33.1827683991883,0.0551123237723914,0.00467547732705498,0.0124840479475097,0.00636360487851562,0.331842599972788,0.030709996548012,47.8653548567017,56.4829167387443,40.7351583996447,38.4417303647056,0.106196506138986,0.275173652173635,0.00852410848983709,0.277631311971163,0.0826905131234525,0.00351407075868337,0.00426045214953774,0.0727899184062153,0.116289172357483,1.23731490417367,0.0313068303580621,0.0397471106061857
