"","Var1","Var2","theta[feasible_index]","KLD.results$KLD$Men_KLD","KLD.results$KLD$Women_KLD","KLD.results$KLD$Pop_KLD","KLD.results$pop_variance"
"1",0.01,0.51,0.5,0.0217847693268742,0.0190091910855955,0.0407939604124697,1.03491999095917
"2",0.02,0.51,0.999999999999999,-2.54581387339441e-05,-2.54619942067378e-05,-5.09201329406819e-05,0.998954687306928
"26",0.01,0.52,0.25,0.00166357594785763,-0.000109630644923043,0.00155394530293459,0.981495411050025
"27",0.02,0.52,0.5,0.0388741661351705,0.0186073357831596,0.0574815019183301,1.05625737910338
"28",0.03,0.52,0.749999999999999,0.110351042569947,0.118231371971946,0.228582414541893,0.966289106606111
"29",0.04,0.52,0.999999999999999,-2.54560086225234e-05,-2.54581250252636e-05,-5.0914133647787e-05,1.00036419401121
"51",0.01,0.53,0.166666666666667,-0.000149647274630423,0.00954648397771417,0.00939683670308374,1.02813346763482
"52",0.02,0.53,0.333333333333333,0.00523679798170966,8.54920403133187e-05,0.00532229002202298,0.978225189833341
"53",0.03,0.53,0.5,0.0125466421607214,0.012140002906061,0.0246866450667824,1.00473000403109
"54",0.04,0.53,0.666666666666666,0.0350117048123407,0.0522516417377411,0.0872633465500819,0.998054059383953
"55",0.05,0.53,0.833333333333333,0.383402121611932,0.400444534801088,0.78384665641302,0.966918641947409
"56",0.06,0.53,0.999999999999999,-2.54582648512561e-05,-2.54788035913735e-05,-5.09370684426296e-05,0.999232696299881
"76",0.01,0.54,0.125,0.00186607969460349,0.0187207173641214,0.0205867970587249,1.03234170283905
"77",0.02,0.54,0.25,0.000158433498310294,0.000675410401189929,0.000833843899500223,0.955652356618798
"78",0.03,0.54,0.375,0.00607576871323344,0.00394026996360631,0.0100160386768397,1.00034899091765
"79",0.04,0.54,0.5,0.00310709267303018,0.0128515969235721,0.0159586895966023,0.965954359563505
"80",0.05,0.54,0.624999999999999,0.04075258534118,0.0287020115499079,0.0694545968910879,1.01757545618563
"81",0.06,0.54,0.749999999999999,0.114012453520728,0.123275494210434,0.237287947731162,0.98779990255227
"82",0.07,0.54,0.874999999999999,0.669082429173297,0.667325253309199,1.3364076824825,0.996895680284803
"83",0.08,0.54,0.999999999999999,-2.54513414893152e-05,-2.5459674060072e-05,-5.09110155493872e-05,0.999608009968679
"101",0.01,0.55,0.0999999999999999,-6.75022584396401e-05,0.00389885349547481,0.00383135123703517,1.02526799533513
"102",0.02,0.55,0.2,0.00236296398536791,0.00258593618936252,0.00494890017473043,0.917686637151987
"103",0.03,0.55,0.3,0.00786560091699563,0.00515309445939019,0.0130186953763858,1.02745670201602
"104",0.04,0.55,0.4,0.00277823266738025,0.0162272207844639,0.0190054534518442,1.01199774972214
"105",0.05,0.55,0.5,0.0274970166694438,0.0181841452246057,0.0456811618940495,1.05523395172985
"106",0.06,0.55,0.6,0.0344294152402509,0.00940215047966278,0.0438315657199137,0.982604630731119
"107",0.07,0.55,0.699999999999999,0.0536540230961779,0.0804804917880075,0.134134514884185,1.01390600879607
"108",0.08,0.55,0.799999999999999,0.250085357503469,0.249140094366683,0.499225451870152,1.00496668996206
"109",0.09,0.55,0.899999999999999,0.891183492697485,0.904629791654228,1.79581328435171,1.04050240624074
