"","mu","p","theta","KLD","Population_Variance"
"1",0.01,0.51,0.5,0.000932962407490905,0.998787260759847
"2",0.015,0.51,0.749999999999999,0.0379776810869139,0.999946802100883
"3",0.02,0.51,0.999999999999999,32.5816740061439,1.0000007974492
"50",0.01,0.515,0.333333333333333,0.000313926740801241,1.00392428565536
"51",0.015,0.515,0.5,0.00130536797998842,0.999777134546442
"52",0.02,0.515,0.666666666666666,0.0121338574263213,1.0007507725331
"53",0.025,0.515,0.833333333333333,0.128693576926126,0.99963305977086
"54",0.03,0.515,0.999999999999999,32.5771742248175,0.999998997468413
"99",0.01,0.52,0.25,0.000290113360765483,1.00143719899919
"100",0.015,0.52,0.375,0.000352925964923107,0.997700407942528
"101",0.02,0.52,0.5,0.00169135914987313,1.0010574531611
"102",0.025,0.52,0.624999999999999,0.00772476093383198,1.00226280790595
"103",0.03,0.52,0.749999999999999,0.0393597979624537,1.00310090604564
"104",0.035,0.52,0.874999999999999,0.248678435338752,0.998245777817185
"105",0.04,0.52,0.999999999999999,32.5776987269921,1.00000497434613
"148",0.01,0.525,0.2,0.000235379170509463,0.996886183369197
"149",0.015,0.525,0.3,0.000416967736166439,0.994758721199053
"150",0.02,0.525,0.4,0.0011700349570684,0.999046742063248
"151",0.025,0.525,0.5,0.00210525920149391,0.999224157051634
"152",0.03,0.525,0.599999999999999,0.00535757306328071,1.00160461729026
"153",0.035,0.525,0.699999999999999,0.0194455541979935,0.995993441569979
"154",0.04,0.525,0.799999999999999,0.0796584482102814,0.996105578153948
"155",0.045,0.525,0.899999999999999,0.380623707696777,1.00055173819242
"156",0.05,0.525,0.999999999999999,32.7144950689743,1.00000497740348
"197",0.01,0.53,0.166666666666667,0.000218254114447896,1.00585251598523
"198",0.015,0.53,0.25,0.000483861072789403,0.998139994889926
"199",0.02,0.53,0.333333333333333,0.00090028202488382,0.99981367891005
"200",0.025,0.53,0.416666666666666,0.00146823340380384,0.993755017473015
"201",0.03,0.53,0.5,0.00259428201495289,1.00329029065406
"202",0.035,0.53,0.583333333333333,0.00491589754389332,0.998746181412255
"203",0.04,0.53,0.666666666666666,0.0141168486167797,0.997097585958848
"204",0.045,0.53,0.749999999999999,0.0411019797306411,1.00368703752126
"205",0.05,0.53,0.833333333333333,0.133178699058909,0.998821510206677
"206",0.055,0.53,0.916666666666666,0.514408419501885,1.00055971640117
"207",0.06,0.53,0.999999999999999,32.7170998377284,0.999996647585516
"246",0.01,0.535,0.142857142857143,0.000227027857850017,0.999128035979493
"247",0.015,0.535,0.214285714285714,0.00069486861610205,0.997300950588345
"248",0.02,0.535,0.285714285714285,0.000717528032966621,1.00278681768114
"249",0.025,0.535,0.357142857142857,0.00119052298586091,0.996682167145439
"250",0.03,0.535,0.428571428571428,0.00200985467331464,0.997010832650277
"251",0.035,0.535,0.5,0.00353709028600522,0.9978543266697
"252",0.04,0.535,0.571428571428571,0.00626825824778682,0.999978101001491
"253",0.045,0.535,0.642857142857142,0.0121552462325635,1.00147994576599
"254",0.05,0.535,0.714285714285714,0.0262149909588354,0.99883464598103
"255",0.055,0.535,0.785714285714285,0.0702261577746579,1.00357742475803
"256",0.06,0.535,0.857142857142856,0.193508075090012,1.00211517776977
"257",0.065,0.535,0.928571428571428,0.638959308822234,1.00096181009928
"258",0.07,0.535,0.999999999999999,32.4655893773232,1.00000107947242
"295",0.01,0.54,0.125,0.000183718489529781,0.998194923708575
"296",0.015,0.54,0.1875,0.000399999826621178,1.00300393564674
"297",0.02,0.54,0.25,0.000675231883964065,1.00796037706865
"298",0.025,0.54,0.3125,0.00142982348017255,0.999855771838676
"299",0.03,0.54,0.375,0.00197914602929298,0.997414498208689
"300",0.035,0.54,0.4375,0.00248494969770253,1.0016439701073
"301",0.04,0.54,0.5,0.00399381435642414,0.998010874439056
"302",0.045,0.54,0.5625,0.00694661167009088,0.997947810165994
"303",0.05,0.54,0.624999999999999,0.0105668383790145,0.998108147564987
"304",0.055,0.54,0.687499999999999,0.0213095203116024,1.00178714632591
"305",0.06,0.54,0.749999999999999,0.0435434927674627,0.997225375180555
"306",0.065,0.54,0.812499999999999,0.0994360737138122,0.996754682667748
"307",0.07,0.54,0.874999999999999,0.262324214290093,1.00075739739879
"308",0.075,0.54,0.937499999999999,0.757296366750343,0.99964480441957
"309",0.08,0.54,0.999999999999999,32.5917375632298,0.999986077546107
"344",0.01,0.545,0.111111111111111,0.000149728605296565,0.999370924230321
"345",0.015,0.545,0.166666666666667,0.000430441274777926,0.996611444466509
"346",0.02,0.545,0.222222222222222,0.00064127605896897,1.00264289531191
"347",0.025,0.545,0.277777777777778,0.00123894913205049,0.998898600883603
"348",0.03,0.545,0.333333333333333,0.00184088816388685,0.995128240454611
"349",0.035,0.545,0.388888888888889,0.00253734287549663,0.997289765109225
"350",0.04,0.545,0.444444444444444,0.00339060730967367,0.996917699760446
"351",0.045,0.545,0.5,0.00518826870890517,0.999512993553629
"352",0.05,0.545,0.555555555555555,0.00733808196264865,1.00189313327468
"353",0.055,0.545,0.611111111111111,0.010797048653381,0.995912472283428
"354",0.06,0.545,0.666666666666666,0.018950332375713,1.00927233835954
"355",0.065,0.545,0.722222222222222,0.0328090944234744,1.00024521686606
"356",0.07,0.545,0.777777777777777,0.0655863324246742,1.00174807852887
"357",0.075,0.545,0.833333333333333,0.140525763886009,0.998485895461498
"358",0.08,0.545,0.888888888888888,0.329248559902879,1.00134353234514
"359",0.085,0.545,0.944444444444444,0.867114590704939,0.999376082602661
"360",0.09,0.545,0.999999999999999,32.5334421670257,0.999996991113867
"393",0.01,0.55,0.0999999999999999,0.000118834579451584,1.00312087682603
"394",0.015,0.55,0.15,0.000465269805318876,0.997658887804146
"395",0.02,0.55,0.2,0.00103997235016551,0.997941574116265
"396",0.025,0.55,0.25,0.00117753571407216,0.998852770348963
